,365,405,436,486,546,577,589,656,zeroes,,,
-3.6,-5.20E-11,-5.80E-11,-7.00E-11,-5.00E-12,-4.50E-11,-3.20E-11,-7.50E-12,-1.00E-12,0.00E+00,,,
-3.59,-5.20E-11,-5.60E-11,-7.00E-11,-4.80E-12,-4.50E-11,-3.30E-11,-7.20E-12,-9.40E-13,0.00E+00,,,
-3.58,-5.20E-11,-5.80E-11,-7.00E-11,-4.90E-12,-4.50E-11,-3.20E-11,-6.90E-12,-7.60E-13,0.00E+00,,,
-3.57,-5.30E-11,-5.80E-11,-7.10E-11,-4.70E-12,-4.50E-11,-3.30E-11,-7.10E-12,-5.40E-13,0.00E+00,,,
-3.56,-5.30E-11,-5.70E-11,-7.00E-11,-4.70E-12,-4.50E-11,-3.00E-11,-7.80E-12,-6.10E-13,0.00E+00,,,
-3.55,-5.20E-11,-5.60E-11,-6.90E-11,-4.70E-12,-4.50E-11,-3.20E-11,-7.20E-12,-5.20E-13,0.00E+00,,,
-3.54,-5.20E-11,-5.60E-11,-6.90E-11,-4.70E-12,-4.50E-11,-3.20E-11,-7.00E-12,-5.70E-13,0.00E+00,,,
-3.53,-5.20E-11,-5.50E-11,-6.90E-11,-4.30E-12,-4.50E-11,-3.20E-11,-7.40E-12,-6.60E-13,0.00E+00,,,
-3.52,-5.20E-11,-5.60E-11,-7.00E-11,-4.60E-12,-4.50E-11,-3.40E-11,-6.90E-12,-4.60E-13,0.00E+00,,,
-3.51,-5.20E-11,-5.70E-11,-7.00E-11,-4.50E-12,-4.50E-11,-3.30E-11,-7.10E-12,-2.20E-13,0.00E+00,,,
-3.5,-5.20E-11,-5.70E-11,-7.00E-11,-4.40E-12,-4.50E-11,-3.20E-11,-6.70E-12,-7.10E-13,0.00E+00,,,
-3.49,-5.20E-11,-5.60E-11,-6.90E-11,-4.50E-12,-4.50E-11,-3.20E-11,-7.30E-12,-5.90E-13,0.00E+00,,,
-3.48,-5.20E-11,-5.60E-11,-6.90E-11,-4.50E-12,-4.50E-11,-3.10E-11,-7.40E-12,-6.70E-13,0.00E+00,,,
-3.47,-5.20E-11,-5.60E-11,-6.90E-11,-4.10E-12,-4.50E-11,-3.20E-11,-6.90E-12,-5.60E-13,0.00E+00,,,
-3.46,-5.20E-11,-5.60E-11,-7.00E-11,-4.20E-12,-4.50E-11,-3.20E-11,-6.70E-12,-3.40E-13,0.00E+00,,,
-3.45,-5.20E-11,-5.70E-11,-6.90E-11,-4.60E-12,-4.40E-11,-3.20E-11,-6.60E-12,-3.70E-13,0.00E+00,,,
-3.44,-5.20E-11,-5.70E-11,-6.90E-11,-4.50E-12,-4.40E-11,-3.30E-11,-7.00E-12,-2.70E-13,0.00E+00,,,
-3.43,-5.10E-11,-5.50E-11,-6.90E-11,-4.50E-12,-4.50E-11,-3.20E-11,-7.40E-12,-4.20E-13,0.00E+00,,,
-3.42,-5.20E-11,-5.60E-11,-6.90E-11,-4.40E-12,-4.50E-11,-3.10E-11,-6.90E-12,-3.90E-13,0.00E+00,,,
-3.41,-5.20E-11,-5.60E-11,-6.90E-11,-4.40E-12,-4.40E-11,-3.20E-11,-6.90E-12,-9.70E-13,0.00E+00,,,
-3.4,-5.20E-11,-5.60E-11,-6.80E-11,-4.40E-12,-4.40E-11,-3.20E-11,-6.80E-12,-2.70E-13,0.00E+00,,,
-3.39,-5.20E-11,-5.80E-11,-6.80E-11,-4.40E-12,-4.40E-11,-3.20E-11,-6.90E-12,-6.20E-14,0.00E+00,,,
-3.38,-5.10E-11,-5.70E-11,-6.90E-11,-4.30E-12,-4.40E-11,-3.20E-11,-7.00E-12,-3.90E-13,0.00E+00,,,
-3.37,-5.10E-11,-5.60E-11,-6.90E-11,-4.20E-12,-4.40E-11,-3.20E-11,-6.80E-12,-2.50E-13,0.00E+00,,,
-3.36,-5.20E-11,-5.70E-11,-6.90E-11,-4.20E-12,-4.40E-11,-3.20E-11,-6.70E-12,1.05E-12,0.00E+00,,,
-3.35,-5.10E-11,-5.60E-11,-6.80E-11,-4.50E-12,-4.40E-11,-3.20E-11,-6.80E-12,-6.50E-14,0.00E+00,,,
-3.34,-5.20E-11,-5.70E-11,-6.80E-11,-4.40E-12,-4.40E-11,-3.20E-11,-7.00E-12,-7.30E-13,0.00E+00,,,
-3.33,-5.10E-11,-5.60E-11,-6.90E-11,-4.20E-12,-4.40E-11,-3.20E-11,-6.90E-12,-4.40E-13,0.00E+00,,,
-3.32,-5.10E-11,-5.60E-11,-6.90E-11,-3.90E-12,-4.40E-11,-3.20E-11,-6.70E-12,-1.00E-12,0.00E+00,,,
-3.31,-5.10E-11,-5.50E-11,-6.90E-11,-4.60E-12,-4.40E-11,-3.20E-11,-6.70E-12,-1.70E-12,0.00E+00,,,
-3.3,-5.20E-11,-5.50E-11,-6.90E-11,-4.20E-12,-4.40E-11,-3.10E-11,-6.80E-12,-9.30E-13,0.00E+00,,,
-3.29,-5.10E-11,-5.60E-11,-7.00E-11,-4.10E-12,-4.30E-11,-3.10E-11,-6.90E-12,-3.10E-13,0.00E+00,,,
-3.28,-5.10E-11,-5.60E-11,-6.90E-11,-4.10E-12,-4.40E-11,-3.00E-11,-6.90E-12,-8.00E-13,0.00E+00,,,
-3.27,-5.10E-11,-5.60E-11,-7.00E-11,-4.20E-12,-4.40E-11,-3.10E-11,-6.70E-12,1.64E-13,0.00E+00,,,
-3.26,-5.10E-11,-5.50E-11,-6.80E-11,-4.40E-12,-4.40E-11,-3.20E-11,-6.70E-12,-5.80E-13,0.00E+00,,,
-3.25,-5.10E-11,-5.60E-11,-6.70E-11,-4.20E-12,-4.40E-11,-3.20E-11,-6.90E-12,-1.10E-12,0.00E+00,,,
-3.24,-5.10E-11,-5.60E-11,-6.80E-11,-4.20E-12,-4.40E-11,-3.20E-11,-6.90E-12,-1.00E-12,0.00E+00,,,
-3.23,-5.10E-11,-5.60E-11,-6.60E-11,-4.00E-12,-4.40E-11,-3.10E-11,-6.80E-12,1.04E-13,0.00E+00,,,
-3.22,-5.10E-11,-5.50E-11,-6.80E-11,-4.10E-12,-4.40E-11,-3.10E-11,-6.60E-12,-1.70E-12,0.00E+00,,,
-3.21,-5.10E-11,-5.50E-11,-6.80E-11,-4.20E-12,-4.40E-11,-3.10E-11,-6.70E-12,-4.60E-14,0.00E+00,,,
-3.2,-5.10E-11,-5.50E-11,-6.80E-11,-4.10E-12,-4.40E-11,-3.10E-11,-6.90E-12,-7.10E-13,0.00E+00,,,
-3.19,-5.10E-11,-5.60E-11,-6.70E-11,-4.00E-12,-4.40E-11,-3.20E-11,-6.90E-12,-4.30E-13,0.00E+00,,,
-3.18,-5.00E-11,-5.60E-11,-6.80E-11,-4.00E-12,-4.30E-11,-3.20E-11,-6.80E-12,-3.80E-13,0.00E+00,,,
-3.17,-5.00E-11,-5.50E-11,-6.80E-11,-4.30E-12,-4.40E-11,-3.20E-11,-7.00E-12,-4.10E-13,0.00E+00,,,
-3.16,-5.10E-11,-5.50E-11,-6.80E-11,-4.50E-12,-4.40E-11,-3.10E-11,-7.90E-12,-6.40E-13,0.00E+00,,,
-3.15,-5.10E-11,-5.50E-11,-6.80E-11,-4.30E-12,-4.30E-11,-3.20E-11,-7.80E-12,-4.70E-13,0.00E+00,,,
-3.14,-5.00E-11,-5.50E-11,-6.80E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.10E-12,-3.00E-13,0.00E+00,,,
-3.13,-5.10E-11,-5.50E-11,-6.80E-11,-4.10E-12,-4.40E-11,-3.10E-11,-6.90E-12,-6.70E-13,0.00E+00,,,
-3.12,-5.10E-11,-5.50E-11,-6.80E-11,-4.20E-12,-4.40E-11,-3.10E-11,-6.40E-12,-1.50E-13,0.00E+00,,,
-3.11,-5.00E-11,-5.50E-11,-6.80E-11,-3.90E-12,-4.40E-11,-3.10E-11,-6.30E-12,-3.90E-13,0.00E+00,,,
-3.1,-5.00E-11,-5.50E-11,-6.80E-11,-3.40E-12,-4.40E-11,-3.10E-11,-6.90E-12,-5.50E-13,0.00E+00,,,
-3.09,-5.00E-11,-5.50E-11,-6.80E-11,-3.30E-12,-4.30E-11,-3.10E-11,-7.00E-12,-6.10E-13,0.00E+00,,,
-3.08,-5.00E-11,-5.50E-11,-6.70E-11,-3.10E-12,-4.30E-11,-3.10E-11,-6.90E-12,-5.50E-13,0.00E+00,,,
-3.07,-5.00E-11,-5.50E-11,-6.70E-11,-4.90E-12,-4.40E-11,-3.10E-11,-6.50E-12,-1.00E-12,0.00E+00,,,
-3.06,-5.00E-11,-5.50E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.10E-12,-1.40E-12,0.00E+00,,,
-3.05,-5.00E-11,-5.50E-11,-6.80E-11,-3.70E-12,-4.30E-11,-3.10E-11,-6.90E-12,-3.40E-13,0.00E+00,,,
-3.04,-5.00E-11,-5.50E-11,-6.80E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.80E-12,-3.90E-13,0.00E+00,,,
-3.03,-5.00E-11,-5.50E-11,-6.70E-11,-4.10E-12,-4.30E-11,-3.10E-11,-5.90E-12,-5.70E-13,0.00E+00,,,
-3.02,-5.00E-11,-5.50E-11,-6.70E-11,-4.40E-12,-4.40E-11,-3.10E-11,-6.20E-12,-1.30E-12,0.00E+00,,,
-3.01,-5.00E-11,-5.40E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.80E-12,-2.70E-13,0.00E+00,,,
-3,-5.00E-11,-5.50E-11,-6.70E-11,-4.00E-12,-4.30E-11,-3.10E-11,-6.90E-12,-4.50E-13,0.00E+00,,,
-2.99,-5.00E-11,-5.50E-11,-6.70E-11,-4.10E-12,-4.30E-11,-3.10E-11,-6.70E-12,-3.00E-13,0.00E+00,,,
-2.98,-5.00E-11,-5.50E-11,-6.70E-11,-4.30E-12,-4.30E-11,-3.10E-11,-6.50E-12,-1.80E-13,0.00E+00,,,
-2.97,-5.00E-11,-5.50E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.40E-12,-5.10E-14,0.00E+00,,,
-2.96,-5.00E-11,-5.40E-11,-6.70E-11,-3.70E-12,-4.30E-11,-3.10E-11,-6.70E-12,1.06E-13,0.00E+00,,,
-2.95,-5.00E-11,-5.40E-11,-6.70E-11,-4.20E-12,-4.30E-11,-3.10E-11,-6.90E-12,-6.40E-13,0.00E+00,,,
-2.94,-5.00E-11,-5.40E-11,-6.80E-11,-4.10E-12,-4.30E-11,-3.10E-11,-6.60E-12,7.86E-13,0.00E+00,,,
-2.93,-5.00E-11,-5.50E-11,-6.80E-11,-4.40E-12,-4.30E-11,-3.10E-11,-6.40E-12,-4.40E-13,0.00E+00,,,
-2.92,-5.00E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.40E-11,-3.20E-11,-6.50E-12,-4.50E-13,0.00E+00,,,
-2.91,-5.00E-11,-5.40E-11,-6.70E-11,-3.80E-12,-4.30E-11,-3.10E-11,-6.80E-12,1.04E-14,0.00E+00,,,
-2.9,-5.00E-11,-5.40E-11,-6.70E-11,-4.20E-12,-4.30E-11,-3.10E-11,-6.40E-12,-1.00E-13,0.00E+00,,,
-2.89,-5.10E-11,-5.40E-11,-6.60E-11,-4.10E-12,-4.30E-11,-3.10E-11,-6.30E-12,3.48E-13,0.00E+00,,,
-2.88,-4.90E-11,-5.50E-11,-6.60E-11,-4.10E-12,-4.30E-11,-3.00E-11,-6.30E-12,-1.00E-12,0.00E+00,,,
-2.87,-5.00E-11,-5.50E-11,-6.70E-11,-3.80E-12,-4.30E-11,-3.10E-11,-7.20E-12,-9.50E-13,0.00E+00,,,
-2.86,-4.90E-11,-5.40E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.60E-12,-1.30E-13,0.00E+00,,,
-2.85,-4.90E-11,-5.50E-11,-6.70E-11,-4.10E-12,-4.30E-11,-3.00E-11,-6.70E-12,-4.70E-13,0.00E+00,,,
-2.84,-4.90E-11,-5.40E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.20E-11,-6.30E-12,-4.80E-14,0.00E+00,,,
-2.83,-4.90E-11,-5.40E-11,-6.70E-11,-3.60E-12,-4.30E-11,-3.20E-11,-6.50E-12,-1.00E-12,0.00E+00,,,
-2.82,-4.90E-11,-5.30E-11,-6.70E-11,-3.80E-12,-4.30E-11,-3.00E-11,-6.50E-12,-4.80E-13,0.00E+00,,,
-2.81,-4.90E-11,-5.40E-11,-6.70E-11,-4.00E-12,-4.30E-11,-3.00E-11,-6.60E-12,-9.20E-13,0.00E+00,,,
-2.8,-4.90E-11,-5.40E-11,-6.70E-11,-4.00E-12,-4.30E-11,-3.10E-11,-6.70E-12,-6.60E-13,0.00E+00,,,
-2.79,-4.90E-11,-5.40E-11,-6.70E-11,-3.90E-12,-4.30E-11,-3.00E-11,-6.50E-12,-7.70E-13,0.00E+00,,,
-2.78,-4.90E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.30E-12,-2.40E-13,0.00E+00,,,
-2.77,-4.90E-11,-5.40E-11,-6.60E-11,-4.00E-12,-4.30E-11,-3.10E-11,-6.50E-12,-7.70E-13,0.00E+00,,,
-2.76,-4.90E-11,-5.40E-11,-6.60E-11,-4.00E-12,-4.30E-11,-3.10E-11,-6.90E-12,-2.00E-13,0.00E+00,,,
-2.75,-4.90E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.20E-11,-3.10E-11,-6.60E-12,-1.40E-12,0.00E+00,,,
-2.74,-4.90E-11,-5.40E-11,-6.60E-11,-3.70E-12,-4.20E-11,-3.10E-11,-6.60E-12,-1.70E-12,0.00E+00,,,
-2.73,-4.90E-11,-5.40E-11,-6.60E-11,-3.80E-12,-4.20E-11,-3.10E-11,-6.30E-12,-9.30E-13,0.00E+00,,,
-2.72,-4.90E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.60E-12,-6.10E-13,0.00E+00,,,
-2.71,-4.90E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.80E-12,-5.30E-13,0.00E+00,,,
-2.7,-4.90E-11,-5.30E-11,-6.60E-11,-3.70E-12,-4.30E-11,-3.00E-11,-6.50E-12,-7.10E-13,0.00E+00,,,
-2.69,-4.90E-11,-5.30E-11,-6.60E-11,-3.60E-12,-4.30E-11,-3.00E-11,-6.30E-12,-6.20E-13,0.00E+00,,,
-2.68,-4.90E-11,-5.30E-11,-6.70E-11,-4.00E-12,-4.30E-11,-3.10E-11,-6.40E-12,1.05E-12,0.00E+00,,,
-2.67,-4.90E-11,-5.30E-11,-6.60E-11,-4.10E-12,-4.30E-11,-3.10E-11,-6.60E-12,-1.10E-12,0.00E+00,,,
-2.66,-4.80E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.30E-11,-3.10E-11,-6.40E-12,1.28E-14,0.00E+00,,,
-2.65,-4.90E-11,-5.40E-11,-6.60E-11,-3.60E-12,-4.30E-11,-3.20E-11,-6.40E-12,-6.10E-13,0.00E+00,,,
-2.64,-4.90E-11,-5.30E-11,-6.60E-11,-3.90E-12,-4.20E-11,-2.80E-11,-6.40E-12,-6.30E-13,0.00E+00,,,
-2.63,-4.90E-11,-5.30E-11,-6.60E-11,-4.20E-12,-4.20E-11,-2.70E-11,-6.40E-12,-5.70E-13,0.00E+00,,,
-2.62,-4.90E-11,-5.30E-11,-6.60E-11,-4.00E-12,-4.20E-11,-3.10E-11,-6.50E-12,-3.10E-13,0.00E+00,,,
-2.61,-4.90E-11,-5.40E-11,-6.60E-11,-3.70E-12,-4.30E-11,-3.10E-11,-6.40E-12,-3.60E-13,0.00E+00,,,
-2.6,-4.80E-11,-5.30E-11,-6.60E-11,-3.70E-12,-4.20E-11,-2.90E-11,-6.30E-12,1.09E-12,0.00E+00,,,
-2.59,-4.80E-11,-5.30E-11,-6.60E-11,-3.90E-12,-4.20E-11,-2.90E-11,-6.30E-12,-5.80E-13,0.00E+00,,,
-2.58,-4.80E-11,-5.30E-11,-6.60E-11,-3.90E-12,-4.20E-11,-3.00E-11,-6.40E-12,-3.20E-13,0.00E+00,,,
-2.57,-4.80E-11,-5.30E-11,-6.60E-11,-3.80E-12,-4.20E-11,-3.00E-11,-6.40E-12,-5.70E-13,0.00E+00,,,
-2.56,-4.80E-11,-5.30E-11,-6.60E-11,-3.80E-12,-4.20E-11,-3.10E-11,-6.30E-12,-5.10E-13,0.00E+00,,,
-2.55,-4.80E-11,-5.40E-11,-6.60E-11,-3.70E-12,-4.20E-11,-3.00E-11,-6.40E-12,-7.50E-13,0.00E+00,,,
-2.54,-4.80E-11,-5.40E-11,-6.60E-11,-3.90E-12,-4.20E-11,-2.90E-11,-6.40E-12,-4.50E-13,0.00E+00,,,
-2.53,-4.80E-11,-5.20E-11,-6.60E-11,-3.90E-12,-4.30E-11,-3.00E-11,-6.00E-12,2.90E-13,0.00E+00,,,
-2.52,-4.70E-11,-5.30E-11,-6.50E-11,-3.90E-12,-4.20E-11,-3.10E-11,-5.90E-12,-3.20E-13,0.00E+00,,,
-2.51,-4.70E-11,-5.20E-11,-6.50E-11,-3.70E-12,-4.20E-11,-3.10E-11,-5.80E-12,-6.00E-13,0.00E+00,,,
-2.5,-4.70E-11,-5.30E-11,-6.70E-11,-3.70E-12,-4.20E-11,-3.10E-11,-4.00E-12,-5.60E-13,0.00E+00,,,
-2.49,-4.70E-11,-5.20E-11,-6.50E-11,-3.80E-12,-4.20E-11,-3.10E-11,-4.80E-12,2.54E-12,0.00E+00,,,
-2.48,-4.70E-11,-5.20E-11,-6.60E-11,-3.90E-12,-4.20E-11,-3.00E-11,-5.80E-12,2.35E-12,0.00E+00,,,
-2.47,-4.70E-11,-5.20E-11,-6.60E-11,-3.70E-12,-4.20E-11,-3.00E-11,-7.30E-12,2.94E-12,0.00E+00,,,
-2.46,-4.70E-11,-5.20E-11,-6.50E-11,-3.70E-12,-4.20E-11,-3.00E-11,-7.90E-12,9.53E-13,0.00E+00,,,
-2.45,-4.70E-11,-5.30E-11,-6.50E-11,-3.80E-12,-4.20E-11,-3.00E-11,-6.40E-12,-6.80E-13,0.00E+00,,,
-2.44,-4.70E-11,-5.30E-11,-6.50E-11,-3.70E-12,-4.20E-11,-3.00E-11,-6.20E-12,-6.30E-14,0.00E+00,,,
-2.43,-4.60E-11,-5.30E-11,-6.50E-11,-3.80E-12,-4.20E-11,-3.00E-11,-6.50E-12,4.02E-13,0.00E+00,,,
-2.42,-4.70E-11,-5.20E-11,-6.50E-11,-3.60E-12,-4.20E-11,-3.00E-11,-6.40E-12,-5.20E-13,0.00E+00,,,
-2.41,-5.00E-11,-5.30E-11,-6.50E-11,-3.50E-12,-4.20E-11,-3.00E-11,-6.70E-12,-3.90E-12,0.00E+00,,,
-2.4,-4.70E-11,-5.30E-11,-6.50E-11,-3.90E-12,-4.20E-11,-3.00E-11,-6.40E-12,-3.80E-12,0.00E+00,,,
-2.39,-6.10E-11,-5.30E-11,-6.50E-11,-3.90E-12,-4.20E-11,-2.90E-11,-6.00E-12,-1.80E-12,0.00E+00,,,
-2.38,-4.50E-11,-5.30E-11,-6.50E-11,-3.80E-12,-4.20E-11,-2.90E-11,-6.50E-12,-2.20E-13,0.00E+00,,,
-2.37,-4.40E-11,-5.20E-11,-6.50E-11,-3.80E-12,-4.20E-11,-3.00E-11,-6.20E-12,-8.40E-13,0.00E+00,,,
-2.36,-4.40E-11,-5.20E-11,-6.50E-11,-3.60E-12,-4.20E-11,-2.90E-11,-6.20E-12,5.16E-13,0.00E+00,,,
-2.35,-4.40E-11,-5.20E-11,-6.50E-11,-3.70E-12,-4.20E-11,-2.90E-11,-6.40E-12,1.45E-14,0.00E+00,,,
-2.34,-4.40E-11,-5.30E-11,-6.50E-11,-3.70E-12,-4.20E-11,-2.90E-11,-5.90E-12,-6.80E-13,0.00E+00,,,
-2.33,-4.70E-11,-5.20E-11,-6.50E-11,-3.50E-12,-4.20E-11,-3.00E-11,-6.30E-12,-7.60E-15,0.00E+00,,,
-2.32,-4.40E-11,-5.20E-11,-6.60E-11,-3.70E-12,-4.20E-11,-2.90E-11,-6.30E-12,4.35E-12,0.00E+00,,,
-2.31,-4.60E-11,-5.10E-11,-6.50E-11,-4.00E-12,-4.20E-11,-3.00E-11,-6.30E-12,2.31E-12,0.00E+00,,,
-2.3,-4.40E-11,-5.20E-11,-6.50E-11,-5.80E-12,-4.20E-11,-3.20E-11,-6.40E-12,6.38E-13,0.00E+00,,,
-2.29,-4.60E-11,-5.20E-11,-6.40E-11,-2.10E-12,-4.10E-11,-3.20E-11,-6.20E-12,-1.80E-13,0.00E+00,,,
-2.28,-4.40E-11,-5.30E-11,-6.40E-11,-4.20E-12,-4.10E-11,-3.00E-11,-7.10E-12,-4.00E-13,0.00E+00,,,
-2.27,-4.40E-11,-5.20E-11,-6.50E-11,-1.50E-12,-4.10E-11,-3.00E-11,-6.30E-12,-6.10E-13,0.00E+00,,,
-2.26,-4.30E-11,-5.10E-11,-6.50E-11,-2.80E-12,-4.10E-11,-3.00E-11,-4.20E-12,-5.10E-13,0.00E+00,,,
-2.25,-4.30E-11,-5.10E-11,-6.50E-11,-2.70E-12,-4.20E-11,-3.00E-11,-5.90E-12,8.69E-13,0.00E+00,,,
-2.24,-4.30E-11,-5.20E-11,-6.40E-11,-3.40E-12,-4.20E-11,-3.00E-11,-6.10E-12,3.76E-13,0.00E+00,,,
